chargeDeviceID,name,latitude,longitude,town,county,postcode,locationType,chargeDeviceStatus,paymentRequired,accessRestrictionFlag,parkingFeesFlag,subscriptionRequired,access24Hours,connector1Type,connector1RatedOutputKW,connector1ChargeMethod,connector1Status
728af2fb27f319c4be373ea371e0aba4,Allendale Road,54.9729,-1.5712,Newcastle upon Tyne,Tyne and Wear,NE6 2SZ,Other,In service,Yes,0,0,1,Unknown,Type 2 Mennekes (IEC62196),7,Single Phase AC,In service
5b6a98d1701494ba253b9995df8c9e6c,Swing Bridge Carpark,54.967738,-1.609539,Newcastle upon Tyne,Tyne and Wear,NE1 3RQ,Other,In service,Yes,0,0,1,Unknown,Type 2 Mennekes (IEC62196),7,Single Phase AC,In service
7238f09eded4ff476195b2c3e8fbe436,Eldon Garden Multi-Storey Car Park 1,54.976044,-1.616317,Newcastle upon Tyne,Tyne and Wear,NE1 7RZ,Public car park,In service,Yes,0,0,1,No,Type 2 Mennekes (IEC62196),7,Single Phase AC,In service
75194bcd73e801e52d3937040b1067c8,Eldon Garden Multi-Storey Car Park 2,54.97613,-1.6163,Newcastle upon Tyne,Tyne and Wear,NE1 7RZ,Public car park,In service,Yes,0,0,1,No,3-pin Type G (BS1363),3,Single Phase AC,In service
1f3ecb87f576752202975d3e0b868bdc,Whitelee Holiday Cotages,55.339241,-2.454973,Newcastle upon Tyne,Tyne and Wear,NE19 1TJ,Other,In service,Yes,0,0,1,Unknown,Type 2 Mennekes (IEC62196),7,Single Phase AC,In service
9cbf28c493d188e2392351da2d065b2c,Whitelee Holiday Cotages,55.339341,-2.454773,Newcastle upon Tyne,Tyne and Wear,NE19 1TJ,Other,In service,Yes,0,0,1,Unknown,Type 2 Mennekes (IEC62196),7,Single Phase AC,In service
456680b27cd6e23b4ccb5f32e4ec6e57,Whitelee Holiday Cotages,55.339441,-2.454873,Newcastle upon Tyne,Tyne and Wear,NE19 1TJ,Other,In service,Yes,0,0,1,Unknown,Type 2 Mennekes (IEC62196),7,Single Phase AC,In service
e19bb9061707cfad817a4cf3ed174a06,Whitelee Holiday Cotages,55.339141,-2.454873,Newcastle upon Tyne,Tyne and Wear,NE19 1TJ,Other,In service,Yes,0,0,1,Unknown,Type 2 Mennekes (IEC62196),7,Single Phase AC,In service
08931d765d99d3e849c9674cc289baf7,The Cheese Farm,55.086231,-1.651671,Newcastle upon Tyne,Tyne and Wear,NE13 6BZ,Other,In service,Yes,0,0,1,Unknown,Type 2 Mennekes (IEC62196),7,Single Phase AC,In service
db31e0a485a2b6c73be7067dd95c0c5e,Dean Street Multi Storey Carpark,54.970213,-1.609078,Newcastle upon Tyne,Tyne and Wear,NE1 1PG,Other,In service,Yes,0,0,1,Unknown,Type 2 Mennekes (IEC62196),7,Single Phase AC,In service
2b56ed40be5179e21a4e65c6871f61c1,Quayside Multi-Storey Car Park 1,54.971085,-1.605432,Newcastle upon Tyne,Tyne and Wear,NE1 3RF,Public car park,In service,Yes,0,0,1,No,Type 2 Mennekes (IEC62196),7,Single Phase AC,In service
0ca72f0a1292ede31400ee464c5c6cbe,Grey Street junction with Mosely Street,54.970956,-1.610735,Newcastle upon Tyne,Tyne and Wear,NE1 6AE,Other,In service,Yes,0,0,1,Unknown,Type 2 Mennekes (IEC62196),7,Single Phase AC,In service
54366258bb45311e0f0c80f3a3d50ab4,Newcastle Shopping Park,54.980094,-1.573052,Newcastle upon Tyne,Tyne and Wear,NE6 2US,Other,In service,Yes,0,0,1,Unknown,3-pin Type G (BS1363),3,Single Phase AC,In service
17f5185b19985f0cf7188661e54814f6,Otterburn Castle Hotel,55.232295,-2.177751,Newcastle upon Tyne,Tyne and Wear,NE19 1NS,Other,In service,Yes,1,0,1,Unknown,Type 2 Mennekes (IEC62196),7,Single Phase AC,In service
d7b1c47b71f171fef9e08f241c46f8c3,Newcastle Airport,55.03812,-1.710744,Newcastle upon Tyne,Tyne and Wear,NE13 8BZ,Other,In service,Yes,0,0,1,Unknown,Type 2 Mennekes (IEC62196),7,Single Phase AC,In service
f59d9ef3101457bdac17c8ef726694c9,Newcastle Airport,55.03802,-1.710744,Newcastle upon Tyne,Tyne and Wear,NE13 8BZ,Other,In service,Yes,0,0,1,Unknown,Type 2 Mennekes (IEC62196),7,Single Phase AC,In service
e0abd6e6385c00b0960a292aa8522351,Newcastle Airport,55.03822,-1.710744,Newcastle upon Tyne,Tyne and Wear,NE13 8BZ,Other,In service,Yes,0,0,1,Unknown,Type 2 Mennekes (IEC62196),7,Single Phase AC,In service
